"s","a","r","sp"
1289,0,-1,16841
16841,0,-1,22025
22025,0,-1,94601
94601,0,-1,22025
22025,0,-1,22024
22024,0,-1,22024
22024,0,-1,22024
22024,0,-1,22024
22024,0,-1,22024
22024,0,-1,16840
16840,0,-1,22024
22024,0,-1,16840
16840,0,-1,58312
58312,0,-1,22024
22024,0,-1,22024
22024,0,-1,22024
22024,0,-1,93468
93468,0,-1,93468
93468,0,-1,93467
93467,0,-1,98651
98651,0,-1,57179
57179,0,-1,57179
57179,0,-1,93467
93467,0,-1,93467
93467,0,-1,98651
98651,0,-1,98651
98651,0,-1,57179
57179,0,-1,15707
15707,0,-1,15707
15707,0,-1,15707
15707,0,-1,20891
20891,0,-1,15707
15707,0,-1,20891
20891,0,-1,15707
15707,0,-1,20890
20890,0,-1,20890
20890,0,-1,20890
20890,0,-1,15706
15706,0,-1,20890
20890,0,-1,15706
15706,0,-1,20890
20890,0,-1,20890
20890,0,-1,20890
20890,0,-1,15706
15706,0,-1,20890
